palavra,frequência,tipo,Validação,QE1,QE2,QE3,QE4,QE5,QE6,QE7,QE8,QE9,QE10,QE11,QE12,QE13,QE14,QE15,QE16,QE17,QE18,Column 24,Total
data,193,N,TRUE,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,,10
site,81,N,TRUE,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,,7
member,79,N,TRUE,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,,7
use,72,V,TRUE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,3
see,66,V,FALSE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,2
know,65,V,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
user,61,N,TRUE,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,4
research,56,N,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,4
access,55,V,TRUE,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,,9
dataset,50,N,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,2
get,50,V,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,4
information,45,N,TRUE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,3
page,35,N,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,,3
project,33,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
access,30,N,TRUE,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,,9
create,30,V,TRUE,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,3
item,30,N,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,,5
file,29,N,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,,6
package,29,N,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,2
find,28,V,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,3
work,27,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
make,26,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
view,25,V,TRUE,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,,4
collection,23,N,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,3
ensure,23,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
repository,23,N,TRUE,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,,4
list,22,N,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
content,21,N,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,,4
time,21,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
profile,20,N,TRUE,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,,9
start,20,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
estimate,19,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
give,19,V,TRUE,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,3
publish,19,V,TRUE,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,,4
training,19,N,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,2
application,18,N,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,18
article,18,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
search,18,V,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,3
share,18,V,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,,5
store,18,V,TRUE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,4
version,18,N,TRUE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,2
course,17,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
download,17,V,TRUE,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,,6
keep,17,V,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,3
